panel,dataset,alpha,mean_ndcg10,per_query_range
a,fiqa,0.0,0.238493,
a,fiqa,0.05,0.251385,
a,fiqa,0.1,0.265732,
a,fiqa,0.15,0.280455,
a,fiqa,0.2,0.301441,
a,fiqa,0.25,0.319713,
a,fiqa,0.3,0.338101,
a,fiqa,0.35,0.353902,
a,fiqa,0.4,0.368579,
a,fiqa,0.45,0.384036,
a,fiqa,0.5,0.395446,
a,fiqa,0.55,0.403346,
a,fiqa,0.6,0.405625,
a,fiqa,0.65,0.409822,
a,fiqa,0.7,0.411543,
a,fiqa,0.75,0.407266,
a,fiqa,0.8,0.404743,
a,fiqa,0.85,0.398338,
a,fiqa,0.9,0.38907,
a,fiqa,0.95,0.375221,
a,fiqa,1.0,0.368122,
a,scifact,0.0,0.676188,
a,scifact,0.05,0.682575,
a,scifact,0.1,0.691075,
a,scifact,0.15,0.702208,
a,scifact,0.2,0.708427,
a,scifact,0.25,0.715622,
a,scifact,0.3,0.722705,
a,scifact,0.35,0.730847,
a,scifact,0.4,0.732011,
a,scifact,0.45,0.731402,
a,scifact,0.5,0.728788,
a,scifact,0.55,0.729932,
a,scifact,0.6,0.730025,
a,scifact,0.65,0.7229,
a,scifact,0.7,0.713502,
a,scifact,0.75,0.705849,
a,scifact,0.8,0.69729,
a,scifact,0.85,0.686008,
a,scifact,0.9,0.676473,
a,scifact,0.95,0.66084,
a,scifact,1.0,0.646312,
b,fiqa+scifact,,,0.306574
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.165004
b,fiqa+scifact,,,0.235996
b,fiqa+scifact,,,0.234639
b,fiqa+scifact,,,0.63093
b,fiqa+scifact,,,0.36907
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.135652
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.213986
b,fiqa+scifact,,,0.613147
b,fiqa+scifact,,,0.386853
b,fiqa+scifact,,,0.154815
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.458412
b,fiqa+scifact,,,0.218407
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.386853
b,fiqa+scifact,,,0.281438
b,fiqa+scifact,,,0.63093
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.430677
b,fiqa+scifact,,,0.33916
b,fiqa+scifact,,,0.204382
b,fiqa+scifact,,,0.325317
b,fiqa+scifact,,,0.63093
b,fiqa+scifact,,,0.231191
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.795618
b,fiqa+scifact,,,0.845185
b,fiqa+scifact,,,0.415212
b,fiqa+scifact,,,0.358296
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.177239
b,fiqa+scifact,,,0.5
b,fiqa+scifact,,,0.218407
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.078175
b,fiqa+scifact,,,0.543771
b,fiqa+scifact,,,0.368329
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.112845
b,fiqa+scifact,,,0.226294
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.63093
b,fiqa+scifact,,,0.36907
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.323976
b,fiqa+scifact,,,0.397356
b,fiqa+scifact,,,0.5
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.168128
b,fiqa+scifact,,,0.296082
b,fiqa+scifact,,,0.524019
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.095283
b,fiqa+scifact,,,0.613147
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.83957
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.278964
b,fiqa+scifact,,,0.067918
b,fiqa+scifact,,,0.583819
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.613147
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.151301
b,fiqa+scifact,,,0.356207
b,fiqa+scifact,,,0.168128
b,fiqa+scifact,,,0.63093
b,fiqa+scifact,,,0.363318
b,fiqa+scifact,,,0.36907
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.532868
b,fiqa+scifact,,,0.356207
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.666667
b,fiqa+scifact,,,0.485664
b,fiqa+scifact,,,0.690506
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.296082
b,fiqa+scifact,,,0.407912
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.296082
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.252034
b,fiqa+scifact,,,0.182166
b,fiqa+scifact,,,0.386853
b,fiqa+scifact,,,0.235046
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.18247
b,fiqa+scifact,,,0.63093
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.337759
b,fiqa+scifact,,,0.495459
b,fiqa+scifact,,,0.321857
b,fiqa+scifact,,,0.306574
b,fiqa+scifact,,,0.613147
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.106993
b,fiqa+scifact,,,0.569323
b,fiqa+scifact,,,0.434332
b,fiqa+scifact,,,0.260253
b,fiqa+scifact,,,0.440323
b,fiqa+scifact,,,0.495061
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.703918
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.569323
b,fiqa+scifact,,,0.289065
b,fiqa+scifact,,,0.430677
b,fiqa+scifact,,,0.246302
b,fiqa+scifact,,,0.613147
b,fiqa+scifact,,,0.765361
b,fiqa+scifact,,,0.641354
b,fiqa+scifact,,,0.302602
b,fiqa+scifact,,,0.296082
b,fiqa+scifact,,,0.36907
b,fiqa+scifact,,,0.522376
b,fiqa+scifact,,,0.636439
b,fiqa+scifact,,,0.349179
b,fiqa+scifact,,,0.18247
b,fiqa+scifact,,,0.237198
b,fiqa+scifact,,,0.36907
b,fiqa+scifact,,,0.63093
b,fiqa+scifact,,,0.0901
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.306574
b,fiqa+scifact,,,0.645963
b,fiqa+scifact,,,0.666667
b,fiqa+scifact,,,1.0
b,fiqa+scifact,,,0.463492
b,fiqa+scifact,,,0.137438
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.753698
b,fiqa+scifact,,,0.39038
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.5
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.454956
b,fiqa+scifact,,,0.177239
b,fiqa+scifact,,,0.490363
b,fiqa+scifact,,,0.202107
b,fiqa+scifact,,,0.099828
b,fiqa+scifact,,,0.280973
b,fiqa+scifact,,,0.613147
b,fiqa+scifact,,,0.613147
b,fiqa+scifact,,,0.569323
b,fiqa+scifact,,,0.402991
b,fiqa+scifact,,,0.5
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.591235
b,fiqa+scifact,,,0.908375
b,fiqa+scifact,,,0.13093
b,fiqa+scifact,,,0.09546
b,fiqa+scifact,,,0.5
b,fiqa+scifact,,,0.044406
b,fiqa+scifact,,,0.218407
b,fiqa+scifact,,,0.181542
b,fiqa+scifact,,,0.483813
b,fiqa+scifact,,,0.306574
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.296082
b,fiqa+scifact,,,0.792847
b,fiqa+scifact,,,0.684535
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.636682
b,fiqa+scifact,,,0.0
b,fiqa+scifact,,,0.101881
b,fiqa+scifact,,,0.315465
b,fiqa+scifact,,,0.553146
b,fiqa+scifact,,,0.274876
b,fiqa+scifact,,,0.419721
