table,cell,printed
inline,documents over 6 collections,272117.0
inline,queries over 6 collections,3727.0
Table 2,"bm25 nDCG@10 macro-average, budget 0",0.38
Table 2,"bm25 nDCG@10 macro-average, budget 50",0.429
Table 2,"bm25 nDCG@10 macro-average, budget 100",0.435
Table 2,"dense nDCG@10 macro-average, budget 0",0.398
Table 2,"dense nDCG@10 macro-average, budget 50",0.431
Table 2,"dense nDCG@10 macro-average, budget 100",0.438
Table 2,"rrf nDCG@10 macro-average, budget 0",0.449
Table 2,"rrf nDCG@10 macro-average, budget 50",0.445
Table 2,"rrf nDCG@10 macro-average, budget 100",0.441
Table 2,"alpha_fixed nDCG@10 macro-average, budget 0",0.43
Table 2,"alpha_fixed nDCG@10 macro-average, budget 50",0.44
Table 2,"alpha_fixed nDCG@10 macro-average, budget 100",0.44
Table 2,"alpha_learned nDCG@10 macro-average, budget 0",0.449
Table 2,"alpha_learned nDCG@10 macro-average, budget 50",0.444
Table 2,"alpha_learned nDCG@10 macro-average, budget 100",0.441
Table 2,"alpha_learned_override nDCG@10 macro-average, budget 0",0.439
Table 2,"alpha_learned_override nDCG@10 macro-average, budget 50",0.441
Table 2,"alpha_learned_override nDCG@10 macro-average, budget 100",0.439
Table 2,"alpha_oracle nDCG@10 macro-average, budget 0",0.524
Table 2,"alpha_oracle nDCG@10 macro-average, budget 50",0.45
Table 2,"alpha_oracle nDCG@10 macro-average, budget 100",0.445
Table 2,"oracle5_post nDCG@10 macro-average, budget 0",0.512
Table 2,"oracle5_post nDCG@10 macro-average, budget 50",0.475
Table 2,"oracle5_post nDCG@10 macro-average, budget 100",0.466
Table 2,"bm25 query-weighted delta vs dense, budget 0",-0.0601
Table 2,"bm25 bootstrap CI low, budget 0",-0.0684
Table 2,"bm25 bootstrap CI high, budget 0",-0.0523
Table 2,"bm25 query-weighted delta vs dense, budget 100",-0.008
Table 2,"bm25 bootstrap CI low, budget 100",-0.0112
Table 2,"bm25 bootstrap CI high, budget 100",-0.0048
Table 2,"rrf query-weighted delta vs dense, budget 0",0.0065
Table 2,"rrf bootstrap CI low, budget 0",0.0007
Table 2,"rrf bootstrap CI high, budget 0",0.0123
Table 2,"rrf query-weighted delta vs dense, budget 100",-0.004
Table 2,"rrf bootstrap CI low, budget 100",-0.006
Table 2,"rrf bootstrap CI high, budget 100",-0.0019
Table 2,"alpha_fixed query-weighted delta vs dense, budget 0",0.0177
Table 2,"alpha_fixed bootstrap CI low, budget 0",0.0148
Table 2,"alpha_fixed bootstrap CI high, budget 0",0.0207
Table 2,"alpha_fixed query-weighted delta vs dense, budget 100",-0.0011
Table 2,"alpha_fixed bootstrap CI low, budget 100",-0.0024
Table 2,"alpha_fixed bootstrap CI high, budget 100",0.0004
Table 2,"alpha_learned query-weighted delta vs dense, budget 0",0.0014
Table 2,"alpha_learned bootstrap CI low, budget 0",-0.005
Table 2,"alpha_learned bootstrap CI high, budget 0",0.0078
Table 2,"alpha_learned query-weighted delta vs dense, budget 100",-0.0049
Table 2,"alpha_learned bootstrap CI low, budget 100",-0.007
Table 2,"alpha_learned bootstrap CI high, budget 100",-0.0026
Table 2,"alpha_learned_override query-weighted delta vs dense, budget 0",0.0061
Table 2,"alpha_learned_override bootstrap CI low, budget 0",0.0008
Table 2,"alpha_learned_override bootstrap CI high, budget 0",0.0115
Table 2,"alpha_learned_override query-weighted delta vs dense, budget 100",-0.0039
Table 2,"alpha_learned_override bootstrap CI low, budget 100",-0.006
Table 2,"alpha_learned_override bootstrap CI high, budget 100",-0.0019
Table 2,"alpha_oracle query-weighted delta vs dense, budget 0",0.0809
Table 2,"alpha_oracle bootstrap CI low, budget 0",0.0761
Table 2,"alpha_oracle bootstrap CI high, budget 0",0.0859
Table 2,"alpha_oracle query-weighted delta vs dense, budget 100",-0.0008
Table 2,"alpha_oracle bootstrap CI low, budget 100",-0.003
Table 2,"alpha_oracle bootstrap CI high, budget 100",0.0014
Table 2,"oracle5_post query-weighted delta vs dense, budget 0",0.0722
Table 2,"oracle5_post bootstrap CI low, budget 0",0.0675
Table 2,"oracle5_post bootstrap CI high, budget 0",0.0769
Table 2,"oracle5_post query-weighted delta vs dense, budget 100",0.0129
Table 2,"oracle5_post bootstrap CI low, budget 100",0.011
Table 2,"oracle5_post bootstrap CI high, budget 100",0.015
Table 10,arguana |D|,8674.0
Table 10,arguana |Q|,1406.0
Table 10,arguana bm25 budget 0,0.306
Table 10,arguana bm25 budget 100 (CE top-100),0.321
Table 10,arguana dense budget 0,0.37
Table 10,arguana dense budget 100 (CE top-100),0.319
Table 10,arguana rrf budget 0,0.368
Table 10,arguana rrf budget 100 (CE top-100),0.316
Table 10,arguana alpha_fixed budget 0,0.381
Table 10,arguana alpha_fixed budget 100 (CE top-100),0.318
Table 10,arguana alpha_learned budget 0,0.359
Table 10,arguana alpha_learned budget 100 (CE top-100),0.316
Table 10,arguana alpha_learned_override budget 0,0.374
Table 10,arguana alpha_learned_override budget 100 (CE top-100),0.319
Table 10,arguana alpha_oracle budget 0,0.44
Table 10,arguana alpha_oracle budget 100 (CE top-100),0.319
Table 10,fiqa |D|,57638.0
Table 10,fiqa |Q|,648.0
Table 10,fiqa bm25 budget 0,0.238
Table 10,fiqa bm25 budget 100 (CE top-100),0.348
Table 10,fiqa dense budget 0,0.368
Table 10,fiqa dense budget 100 (CE top-100),0.378
Table 10,fiqa rrf budget 0,0.374
Table 10,fiqa rrf budget 100 (CE top-100),0.37
Table 10,fiqa alpha_fixed budget 0,0.405
Table 10,fiqa alpha_fixed budget 100 (CE top-100),0.376
Table 10,fiqa alpha_learned budget 0,0.366
Table 10,fiqa alpha_learned budget 100 (CE top-100),0.367
Table 10,fiqa alpha_learned_override budget 0,0.367
Table 10,fiqa alpha_learned_override budget 100 (CE top-100),0.367
Table 10,fiqa alpha_oracle budget 0,0.48
Table 10,fiqa alpha_oracle budget 100 (CE top-100),0.374
Table 10,nfcorpus |D|,3633.0
Table 10,nfcorpus |Q|,323.0
Table 10,nfcorpus bm25 budget 0,0.318
Table 10,nfcorpus bm25 budget 100 (CE top-100),0.35
Table 10,nfcorpus dense budget 0,0.316
Table 10,nfcorpus dense budget 100 (CE top-100),0.343
Table 10,nfcorpus rrf budget 0,0.342
Table 10,nfcorpus rrf budget 100 (CE top-100),0.356
Table 10,nfcorpus alpha_fixed budget 0,0.337
Table 10,nfcorpus alpha_fixed budget 100 (CE top-100),0.349
Table 10,nfcorpus alpha_learned budget 0,0.358
Table 10,nfcorpus alpha_learned budget 100 (CE top-100),0.353
Table 10,nfcorpus alpha_learned_override budget 0,0.358
Table 10,nfcorpus alpha_learned_override budget 100 (CE top-100),0.353
Table 10,nfcorpus alpha_oracle budget 0,0.404
Table 10,nfcorpus alpha_oracle budget 100 (CE top-100),0.357
Table 10,scidocs |D|,25657.0
Table 10,scidocs |Q|,1000.0
Table 10,scidocs bm25 budget 0,0.151
Table 10,scidocs bm25 budget 100 (CE top-100),0.164
Table 10,scidocs dense budget 0,0.216
Table 10,scidocs dense budget 100 (CE top-100),0.18
Table 10,scidocs rrf budget 0,0.199
Table 10,scidocs rrf budget 100 (CE top-100),0.169
Table 10,scidocs alpha_fixed budget 0,0.218
Table 10,scidocs alpha_fixed budget 100 (CE top-100),0.175
Table 10,scidocs alpha_learned budget 0,0.189
Table 10,scidocs alpha_learned budget 100 (CE top-100),0.169
Table 10,scidocs alpha_learned_override budget 0,0.19
Table 10,scidocs alpha_learned_override budget 100 (CE top-100),0.169
Table 10,scidocs alpha_oracle budget 0,0.264
Table 10,scidocs alpha_oracle budget 100 (CE top-100),0.173
Table 10,scifact |D|,5183.0
Table 10,scifact |Q|,300.0
Table 10,scifact bm25 budget 0,0.676
Table 10,scifact bm25 budget 100 (CE top-100),0.693
Table 10,scifact dense budget 0,0.646
Table 10,scifact dense budget 100 (CE top-100),0.693
Table 10,scifact rrf budget 0,0.715
Table 10,scifact rrf budget 100 (CE top-100),0.691
Table 10,scifact alpha_fixed budget 0,0.697
Table 10,scifact alpha_fixed budget 100 (CE top-100),0.693
Table 10,scifact alpha_learned budget 0,0.727
Table 10,scifact alpha_learned budget 100 (CE top-100),0.693
Table 10,scifact alpha_learned_override budget 0,0.727
Table 10,scifact alpha_learned_override budget 100 (CE top-100),0.693
Table 10,scifact alpha_oracle budget 0,0.782
Table 10,scifact alpha_oracle budget 100 (CE top-100),0.694
Table 10,trec-covid |D|,171332.0
Table 10,trec-covid |Q|,50.0
Table 10,trec-covid bm25 budget 0,0.589
Table 10,trec-covid bm25 budget 100 (CE top-100),0.734
