detector,target_fpr,realised_fpr,delta_ndcg10,max_asr_a1_a6
D1_3feat_tiny,0.001,0.0,0.0,1.0
D1_3feat_tiny,0.01,0.004,0.0016,1.0
D1_3feat_tiny,0.05,0.0547,0.0267,1.0
D1b_3feat_trained,0.001,0.0,0.0,1.0
D1b_3feat_trained,0.01,0.008,0.0065,1.0
D1b_3feat_trained,0.05,0.0533,0.0415,1.0
D2_embed_probe,0.001,0.004,0.0067,1.0
D2_embed_probe,0.01,0.0113,0.01,0.9833
D2_embed_probe,0.05,0.0587,0.0366,0.95
D3_distilbert,0.001,0.0027,0.0,0.9967
D3_distilbert,0.01,0.0147,0.0054,0.9867
D3_distilbert,0.05,0.058,0.0129,0.96
D4_guard_zeroshot,0.001,0.0007,0.0,0.99
D4_guard_zeroshot,0.01,0.0093,-0.0002,0.99
D4_guard_zeroshot,0.05,0.046,0.017,0.9633
D5_perplexity,0.001,0.006,0.0005,1.0
D5_perplexity,0.01,0.0167,0.003,0.9967
D5_perplexity,0.05,0.0567,0.0435,0.95
D6_ensemble,0.001,0.0487,0.0,1.0
D6_ensemble,0.01,0.0487,0.0,1.0
D6_ensemble,0.05,0.056,0.0033,0.9933
