dataset,n_docs,n_queries,budget,bm25,dense,rrf,alpha_fixed,alpha_learned,alpha_learned_override,alpha_oracle
arguana,8674,1406,0,0.3064,0.3703,0.3684,0.3807,0.3595,0.3736,0.4398
arguana,8674,1406,100,0.3207,0.3189,0.3165,0.3182,0.3158,0.3186,0.3191
fiqa,57638,648,0,0.2385,0.3681,0.3745,0.4047,0.3664,0.3671,0.4798
fiqa,57638,648,100,0.3484,0.3784,0.3701,0.3765,0.367,0.367,0.3737
nfcorpus,3633,323,0,0.3184,0.3159,0.3423,0.3372,0.3579,0.3579,0.4038
nfcorpus,3633,323,100,0.3499,0.3425,0.3558,0.3494,0.353,0.353,0.3569
scidocs,25657,1000,0,0.1505,0.2164,0.1985,0.2184,0.1891,0.1897,0.2638
scidocs,25657,1000,100,0.1637,0.1802,0.1689,0.1755,0.1686,0.1685,0.1726
scifact,5183,300,0,0.6762,0.6463,0.7148,0.6973,0.7275,0.7275,0.7817
scifact,5183,300,100,0.6933,0.6929,0.6908,0.6928,0.6933,0.6933,0.6941
trec-covid,171332,50,0,0.5888,0.4692,0.6983,0.5438,0.6921,0.6161,0.7743
trec-covid,171332,50,100,0.7339,0.7132,0.7416,0.7251,0.7454,0.7357,0.7558
