table,cell,printed,regenerated,tolerance,source,status
inline,documents over 6 collections,272117.0,272117.0,0.0,recomputed,PASS
inline,queries over 6 collections,3727.0,3727.0,0.0,recomputed,PASS
Table 2,"bm25 nDCG@10 macro-average, budget 0",0.38,0.379799,0.0006,recomputed,PASS
Table 2,"bm25 nDCG@10 macro-average, budget 50",0.429,0.429393,0.0006,recomputed,PASS
Table 2,"bm25 nDCG@10 macro-average, budget 100",0.435,0.434986,0.0006,recomputed,PASS
Table 2,"dense nDCG@10 macro-average, budget 0",0.398,0.397715,0.0006,recomputed,PASS
Table 2,"dense nDCG@10 macro-average, budget 50",0.431,0.431449,0.0006,recomputed,PASS
Table 2,"dense nDCG@10 macro-average, budget 100",0.438,0.437678,0.0006,recomputed,PASS
Table 2,"rrf nDCG@10 macro-average, budget 0",0.449,0.449462,0.0006,recomputed,PASS
Table 2,"rrf nDCG@10 macro-average, budget 50",0.445,0.445225,0.0006,recomputed,PASS
Table 2,"rrf nDCG@10 macro-average, budget 100",0.441,0.440626,0.0006,recomputed,PASS
Table 2,"alpha_fixed nDCG@10 macro-average, budget 0",0.43,0.430348,0.0006,recomputed,PASS
Table 2,"alpha_fixed nDCG@10 macro-average, budget 50",0.44,0.44042,0.0006,recomputed,PASS
Table 2,"alpha_fixed nDCG@10 macro-average, budget 100",0.44,0.43958,0.0006,recomputed,PASS
Table 2,"alpha_learned nDCG@10 macro-average, budget 0",0.449,0.448741,0.0006,recomputed,PASS
Table 2,"alpha_learned nDCG@10 macro-average, budget 50",0.444,0.444192,0.0006,recomputed,PASS
Table 2,"alpha_learned nDCG@10 macro-average, budget 100",0.441,0.44054,0.0006,recomputed,PASS
Table 2,"alpha_learned_override nDCG@10 macro-average, budget 0",0.439,0.438655,0.0006,recomputed,PASS
Table 2,"alpha_learned_override nDCG@10 macro-average, budget 50",0.441,0.44052,0.0006,recomputed,PASS
Table 2,"alpha_learned_override nDCG@10 macro-average, budget 100",0.439,0.439375,0.0006,recomputed,PASS
Table 2,"alpha_oracle nDCG@10 macro-average, budget 0",0.524,0.523858,0.0006,recomputed,PASS
Table 2,"alpha_oracle nDCG@10 macro-average, budget 50",0.45,0.450302,0.0006,recomputed,PASS
Table 2,"alpha_oracle nDCG@10 macro-average, budget 100",0.445,0.44537,0.0006,recomputed,PASS
Table 2,"oracle5_post nDCG@10 macro-average, budget 0",0.512,0.511471,0.0006,recomputed,PASS
Table 2,"oracle5_post nDCG@10 macro-average, budget 50",0.475,0.475242,0.0006,recomputed,PASS
Table 2,"oracle5_post nDCG@10 macro-average, budget 100",0.466,0.466026,0.0006,recomputed,PASS
Table 2,"bm25 query-weighted delta vs dense, budget 0",-0.0601,-0.0601,6e-05,recomputed,PASS
Table 2,"bm25 bootstrap CI low, budget 0",-0.0684,-0.0684,0.0006,recomputed,PASS
Table 2,"bm25 bootstrap CI high, budget 0",-0.0523,-0.0523,0.0006,recomputed,PASS
Table 2,"bm25 query-weighted delta vs dense, budget 100",-0.008,-0.008,6e-05,recomputed,PASS
Table 2,"bm25 bootstrap CI low, budget 100",-0.0112,-0.0112,0.0006,recomputed,PASS
Table 2,"bm25 bootstrap CI high, budget 100",-0.0048,-0.0048,0.0006,recomputed,PASS
Table 2,"rrf query-weighted delta vs dense, budget 0",0.0065,0.0065,6e-05,recomputed,PASS
Table 2,"rrf bootstrap CI low, budget 0",0.0007,0.0005,0.0006,recomputed,PASS
Table 2,"rrf bootstrap CI high, budget 0",0.0123,0.0122,0.0006,recomputed,PASS
Table 2,"rrf query-weighted delta vs dense, budget 100",-0.004,-0.004,6e-05,recomputed,PASS
Table 2,"rrf bootstrap CI low, budget 100",-0.006,-0.006,0.0006,recomputed,PASS
Table 2,"rrf bootstrap CI high, budget 100",-0.0019,-0.0019,0.0006,recomputed,PASS
Table 2,"alpha_fixed query-weighted delta vs dense, budget 0",0.0177,0.0177,6e-05,recomputed,PASS
Table 2,"alpha_fixed bootstrap CI low, budget 0",0.0148,0.0147,0.0006,recomputed,PASS
Table 2,"alpha_fixed bootstrap CI high, budget 0",0.0207,0.0207,0.0006,recomputed,PASS
Table 2,"alpha_fixed query-weighted delta vs dense, budget 100",-0.0011,-0.0011,6e-05,recomputed,PASS
Table 2,"alpha_fixed bootstrap CI low, budget 100",-0.0024,-0.0024,0.0006,recomputed,PASS
Table 2,"alpha_fixed bootstrap CI high, budget 100",0.0004,0.0004,0.0006,recomputed,PASS
Table 2,"alpha_learned query-weighted delta vs dense, budget 0",0.0014,0.0014,6e-05,recomputed,PASS
Table 2,"alpha_learned bootstrap CI low, budget 0",-0.005,-0.005,0.0006,recomputed,PASS
Table 2,"alpha_learned bootstrap CI high, budget 0",0.0078,0.0077,0.0006,recomputed,PASS
Table 2,"alpha_learned query-weighted delta vs dense, budget 100",-0.0049,-0.0049,6e-05,recomputed,PASS
Table 2,"alpha_learned bootstrap CI low, budget 100",-0.007,-0.007,0.0006,recomputed,PASS
Table 2,"alpha_learned bootstrap CI high, budget 100",-0.0026,-0.0027,0.0006,recomputed,PASS
Table 2,"alpha_learned_override query-weighted delta vs dense, budget 0",0.0061,0.0061,6e-05,recomputed,PASS
Table 2,"alpha_learned_override bootstrap CI low, budget 0",0.0008,0.0008,0.0006,recomputed,PASS
Table 2,"alpha_learned_override bootstrap CI high, budget 0",0.0115,0.0113,0.0006,recomputed,PASS
Table 2,"alpha_learned_override query-weighted delta vs dense, budget 100",-0.0039,-0.0039,6e-05,recomputed,PASS
Table 2,"alpha_learned_override bootstrap CI low, budget 100",-0.006,-0.0059,0.0006,recomputed,PASS
Table 2,"alpha_learned_override bootstrap CI high, budget 100",-0.0019,-0.0019,0.0006,recomputed,PASS
Table 2,"alpha_oracle query-weighted delta vs dense, budget 0",0.0809,0.0809,6e-05,recomputed,PASS
Table 2,"alpha_oracle bootstrap CI low, budget 0",0.0761,0.0762,0.0006,recomputed,PASS
Table 2,"alpha_oracle bootstrap CI high, budget 0",0.0859,0.0859,0.0006,recomputed,PASS
Table 2,"alpha_oracle query-weighted delta vs dense, budget 100",-0.0008,-0.0008,6e-05,recomputed,PASS
Table 2,"alpha_oracle bootstrap CI low, budget 100",-0.003,-0.003,0.0006,recomputed,PASS
Table 2,"alpha_oracle bootstrap CI high, budget 100",0.0014,0.0014,0.0006,recomputed,PASS
Table 2,"oracle5_post query-weighted delta vs dense, budget 0",0.0722,0.0722,6e-05,recomputed,PASS
Table 2,"oracle5_post bootstrap CI low, budget 0",0.0675,0.0676,0.0006,recomputed,PASS
Table 2,"oracle5_post bootstrap CI high, budget 0",0.0769,0.077,0.0006,recomputed,PASS
Table 2,"oracle5_post query-weighted delta vs dense, budget 100",0.0129,0.0129,6e-05,recomputed,PASS
Table 2,"oracle5_post bootstrap CI low, budget 100",0.011,0.0109,0.0006,recomputed,PASS
Table 2,"oracle5_post bootstrap CI high, budget 100",0.015,0.0149,0.0006,recomputed,PASS
